Date, Real Date, Net Count, Capture, Aggressive Capture
Fold 1
12/29/14, ,-36.0, -0.26588142752124944, -0.2524217359953312
01/02/14, ,-17.0, 0.28155822644629575, 0.2957811532788643
08/30/13, ,-6.0, 0.2095415923404729, 0.22341511533198863
02/13/15, ,-38.0, -0.18797670296981744, -0.17355698424656896
09/24/14, ,-35.0, -0.2553459122616964, -0.24142275346284484
12/18/13, ,-20.0, 0.28647743574293555, 0.30062655688496615
01/29/15, ,-37.0, -0.27073635279074854, -0.2572816445036551
10/15/13, ,-15.0, 0.15967169211657573, 0.1728786636394388
06/19/14, ,-29.0, -0.31760326490985175, -0.3043068303705035
09/17/14, ,-34.0, -0.262386731961207, -0.248581745420906
09/17/13, ,-8.0, 0.18487286242354464, 0.19808536615036604
01/21/15, ,-37.0, -0.27405930006448187, -0.26060301324658636
04/02/14, ,-25.0, -0.3053747911365606, -0.29231958346461523
02/09/15, ,-37.0, -0.17787920993360565, -0.1634424067851218
03/13/14, ,-21.0, -0.2966192606532367, -0.28347368393702843
02/20/14, ,-21.0, 0.16927193163794788, 0.18331484961554295
09/30/14, ,-34.0, -0.24975848620341734, -0.23582024240497843
12/19/13, ,-19.0, 0.2895077387732386, 0.3036955227542932
01/12/15, ,-36.0, -0.2589183324348265, -0.24544682291148132
08/09/13, ,0.0, 0.2692368001614695, 0.2834209374371902
11/01/13, ,-16.0, 0.2724506999187061, 0.2866065002905398
02/19/14, ,-21.0, 0.16862049260325135, 0.18267471314608938
07/04/14, ,-27.0, -0.2636852364447164, -0.25005866592960485
05/01/14, ,-28.0, -0.2839309014827614, -0.2709442363485432
07/03/14, ,-26.0, -0.2636852364447164, -0.25005866592960485
08/13/13, ,-1.0, 0.2542235531788378, 0.2683843955597448
10/23/13, ,-15.0, 0.2668009824045818, 0.28095383193070006
02/27/15, ,-37.0, -0.18574740360676004, -0.17131155908686221
01/22/14, ,-20.0, 0.30023633231056185, 0.3143336161715571
02/06/14, ,-21.0, 0.29873540204553634, 0.3128410207167775
06/13/14, ,-29.0, -0.34769279962290034, -0.3349046142932466
03/31/14, ,-25.0, -0.3171874761987428, -0.30408440268296927
03/05/15, ,-36.0, -0.18416887164148776, -0.16972966284960797
04/23/14, ,-27.0, -0.30454417422087965, -0.2914944950307002
08/27/14, ,-29.0, -0.2157493414791465, -0.20189709999295039
09/22/14, ,-34.0, -0.2602555665737413, -0.24634816607587057
09/05/13, ,-7.0, 0.1897553416183471, 0.20295726803532552
09/26/14, ,-35.0, -0.25454846409582704, -0.24062375222019916
10/28/14, ,-35.0, -0.2541067221953973, -0.24058714351796226
02/26/14, ,-20.0, 0.18617741120094886, 0.2002999598778913
08/29/14, ,-30.0, -0.22237185803543802, -0.20854349973959266
08/29/13, ,-5.0, 0.21738472959537486, 0.23127234050868353
01/30/14, ,-22.0, 0.29752017115166646, 0.3116129709905169
03/25/14, ,-23.0, -0.3023100416436686, -0.2891617326977539
12/27/13, ,-17.0, 0.30365985720100785, 0.3178847444197672
05/21/14, ,-29.0, -0.24497311830800927, -0.2318423450060377
10/02/14, ,-33.0, -0.28410116126312845, -0.27023810050257596
11/28/14, ,-37.0, -0.2886051088790936, -0.27514484121640004
08/22/14, ,-27.0, -0.2157493414791465, -0.20189709999295039
08/01/14, ,-26.0, -0.2169934949211116, -0.20319205136358937
05/20/14, ,-28.0, -0.24497311830800927, -0.2318423450060377
02/11/14, ,-23.0, 0.29873540204553634, 0.3128410207167775
01/09/15, ,-37.0, -0.27225166576815985, -0.25880881121660415
07/10/14, ,-26.0, -0.2607866857200787, -0.24713902412153885
10/16/13, ,-14.0, 0.2577109078028502, 0.27186013679589816
05/23/14, ,-29.0, -0.21648490109891547, -0.20333667916565323
06/20/14, ,-26.0, -0.27432353431705675, -0.2607874174187447
03/14/14, ,-23.0, -0.3053888593776588, -0.2922459657091557
11/11/14, ,-38.0, -0.2807944790825717, -0.2673473159441146
12/04/14, ,-37.0, -0.28829280915633926, -0.27484334833771673
02/06/15, ,-38.0, -0.27073635279074854, -0.2572816445036551
09/11/14, ,-31.0, -0.2606535562568953, -0.24684589168684398
04/08/14, ,-26.0, -0.3053747911365606, -0.29231958346461523
07/30/14, ,-28.0, -0.24570085604649897, -0.23204465245425823
12/22/14, ,-37.0, -0.26894304252316287, -0.2554837615993091
08/28/13, ,-3.0, 0.2542235531788378, 0.2683843955597448
09/09/13, ,-8.0, 0.1810783509340422, 0.1942838355527312
09/19/14, ,-33.0, -0.25899210678440365, -0.24511693266456358
03/10/15, ,-38.0, -0.2085922626576437, -0.19420220601589383
06/12/14, ,-30.0, -0.3544125995916454, -0.34163053344300365
01/28/15, ,-38.0, -0.27753907387918386, -0.26408801970094575
10/17/14, ,-33.0, -0.23582315176007654, -0.22228087584535727
05/29/14, ,-30.0, -0.21871207259112033, -0.20556970624270302
06/06/14, ,-29.0, -0.20540461487002254, -0.19225895663205123
04/01/14, ,-26.0, -0.3372960920801461, -0.3242595919467072
10/11/13, ,-14.0, 0.15967169211657573, 0.1728786636394388
04/17/14, ,-27.0, -0.312587304836558, -0.2995398032240261
08/15/14, ,-26.0, -0.1974147349092458, -0.1835276725266474
11/17/14, ,-37.0, -0.2767766219397146, -0.2633096259708352
09/10/13, ,-7.0, 0.18677400310795525, 0.19998816148068327
10/16/14, ,-32.0, -0.2170965599997768, -0.203049922843744
03/27/14, ,-24.0, -0.31200360011771483, -0.29889778479323015
09/27/13, ,-10.0, 0.18518540123760616, 0.19839945786979998
12/03/13, ,-19.0, 0.2829625838875332, 0.29713034323318377
